연번,segment,pair,phase,cluster
1,B,AB,dynamic,6
2,B,AB,dynamic,7
3,B,AB,dynamic,0
4,B,AB,dynamic,6
5,B,AB,dynamic,6
6,B,AB,dynamic,0
7,B,AB,dynamic,6
8,B,AB,dynamic,0
9,B,AB,dynamic,0
10,B,AB,dynamic,7
11,B,AB,dynamic,4
12,B,AB,dynamic,4
13,B,AB,dynamic,4
14,B,AB,dynamic,0
15,B,AB,dynamic,6
16,B,AB,dynamic,6
17,B,AB,dynamic,0
18,B,AB,dynamic,0
19,B,AB,dynamic,7
20,B,AB,dynamic,7
21,B,AB,dynamic,7
22,B,AB,dynamic,7
23,B,AB,dynamic,4
24,B,AB,dynamic,6
25,B,AB,dynamic,7
26,B,AB,dynamic,6
27,B,AB,dynamic,0
28,B,AB,dynamic,4
29,B,AB,dynamic,6
30,B,AB,dynamic,6
31,B,AB,dynamic,6
32,B,AB,dynamic,7
33,B,AB,dynamic,6
34,B,AB,dynamic,6
35,B,AB,dynamic,4
36,B,AB,dynamic,0
37,B,AB,dynamic,6
38,B,AB,dynamic,7
39,B,AB,dynamic,6
40,B,AB,dynamic,4
41,B,AB,dynamic,6
42,B,AB,dynamic,6
43,B,AB,dynamic,0
44,B,AB,dynamic,6
45,B,AB,dynamic,0
46,B,AB,dynamic,7
47,B,AB,dynamic,6
48,B,AB,dynamic,3
49,B,AB,dynamic,6
50,B,AB,dynamic,0
51,B,AB,dynamic,0
52,B,AB,dynamic,6
53,B,AB,dynamic,6
54,B,AB,dynamic,4
55,B,AB,dynamic,6
56,B,AB,dynamic,4
57,B,AB,dynamic,6
58,B,AB,dynamic,0
59,B,AB,dynamic,6
60,B,AB,dynamic,6
61,B,AB,dynamic,6
62,B,AB,dynamic,6
63,B,AB,dynamic,6
64,B,AB,dynamic,6
65,B,AB,dynamic,6
66,B,AB,dynamic,0
67,B,AB,dynamic,6
68,B,AB,dynamic,7
69,B,AB,dynamic,4
70,B,AB,dynamic,6
71,B,AB,dynamic,6
72,B,AB,dynamic,6
73,B,AB,dynamic,6
74,B,AB,dynamic,7
75,B,AB,dynamic,4
76,B,AB,dynamic,6
77,B,AB,dynamic,7
78,B,AB,dynamic,6
79,B,AB,dynamic,4
80,B,AB,dynamic,4
81,B,AB,dynamic,4
82,B,AB,dynamic,0
83,B,AB,dynamic,7
84,B,AB,dynamic,0
85,B,AB,dynamic,7
86,B,AB,dynamic,3
87,B,AB,dynamic,6
88,B,AB,dynamic,7
89,B,AB,dynamic,7
90,B,AB,dynamic,7
91,B,AB,dynamic,6
92,B,AB,dynamic,7
93,B,AB,dynamic,6
94,B,AB,dynamic,7
95,B,AB,dynamic,0
96,B,AB,dynamic,4
97,B,AB,dynamic,0
98,B,AB,dynamic,7
99,B,AB,dynamic,6
100,B,AB,dynamic,6
101,B,AB,dynamic,4
102,B,AB,dynamic,4
103,B,AB,dynamic,4
104,B,AB,dynamic,7
105,B,AB,dynamic,6
106,B,AB,dynamic,4
107,B,AB,dynamic,6
108,B,AB,dynamic,4
109,B,AB,dynamic,7
110,B,AB,dynamic,0
111,B,AB,dynamic,0
112,B,AB,dynamic,7
113,B,AB,dynamic,6
114,B,AB,dynamic,4
115,B,AB,dynamic,6
116,B,AB,dynamic,7
117,B,AB,dynamic,6
118,B,AB,dynamic,6
119,B,AB,dynamic,6
120,B,AB,dynamic,7
