연번,segment,pair,phase,cluster
1,A,AB,static,0
2,A,AB,static,0
3,A,AB,static,0
4,A,AB,static,0
5,A,AB,static,0
6,A,AB,static,0
7,A,AB,static,0
8,A,AB,static,0
9,A,AB,static,0
10,A,AB,static,0
11,A,AB,static,0
12,A,AB,static,0
13,A,AB,static,0
14,A,AB,static,0
15,A,AB,static,0
16,A,AB,static,0
17,A,AB,static,0
18,A,AB,static,0
19,A,AB,static,0
20,A,AB,static,0
21,A,AB,static,0
22,A,AB,static,0
23,A,AB,static,0
24,A,AB,static,0
25,A,AB,static,0
26,A,AB,static,0
27,A,AB,static,0
28,A,AB,static,0
29,A,AB,static,0
30,A,AB,static,0
31,A,AB,static,0
32,A,AB,static,0
33,A,AB,static,0
34,A,AB,static,0
35,A,AB,static,0
36,A,AB,static,0
37,A,AB,static,0
38,A,AB,static,0
39,A,AB,static,0
40,A,AB,static,0
41,A,AB,static,0
42,A,AB,static,0
43,A,AB,static,0
44,A,AB,static,0
45,A,AB,static,0
46,A,AB,static,0
47,A,AB,static,0
48,A,AB,static,0
49,A,AB,static,0
50,A,AB,static,0
51,A,AB,static,0
52,A,AB,static,0
53,A,AB,static,0
54,A,AB,static,0
55,A,AB,static,0
56,A,AB,static,0
57,A,AB,static,0
58,A,AB,static,0
59,A,AB,static,0
60,A,AB,static,0
61,A,AB,static,0
62,A,AB,static,0
63,A,AB,static,0
64,A,AB,static,0
65,A,AB,static,0
66,A,AB,static,0
67,A,AB,static,0
68,A,AB,static,0
69,A,AB,static,0
70,A,AB,static,0
71,A,AB,static,0
72,A,AB,static,0
73,A,AB,static,0
74,A,AB,static,0
75,A,AB,static,0
76,A,AB,static,0
77,A,AB,static,0
78,A,AB,static,0
79,A,AB,static,0
80,A,AB,static,0
81,A,AB,static,0
82,A,AB,static,0
83,A,AB,static,0
84,A,AB,static,0
85,A,AB,static,0
86,A,AB,static,0
87,A,AB,static,0
88,A,AB,static,0
89,A,AB,static,0
90,A,AB,static,0
91,A,AB,static,0
92,A,AB,static,0
93,A,AB,static,0
94,A,AB,static,0
95,A,AB,static,0
96,A,AB,static,0
97,A,AB,static,0
98,A,AB,static,0
99,A,AB,static,0
100,A,AB,static,0
101,A,AB,static,0
102,A,AB,static,0
103,A,AB,static,0
104,A,AB,static,0
105,A,AB,static,0
106,A,AB,static,0
107,A,AB,static,0
108,A,AB,static,0
109,A,AB,static,0
110,A,AB,static,0
111,A,AB,static,0
112,A,AB,static,0
113,A,AB,static,0
114,A,AB,static,0
115,A,AB,static,0
116,A,AB,static,0
117,A,AB,static,0
118,A,AB,static,0
119,A,AB,static,0
120,A,AB,static,0
121,A,AB,static,0
122,A,AB,static,0
123,A,AB,static,0
124,A,AB,static,0
125,A,AB,static,0
126,A,AB,static,0
127,A,AB,static,0
128,A,AB,static,0
1,B,AB,dynamic,1
2,B,AB,dynamic,1
3,B,AB,dynamic,1
4,B,AB,dynamic,1
5,B,AB,dynamic,1
6,B,AB,dynamic,1
7,B,AB,dynamic,1
8,B,AB,dynamic,1
9,B,AB,dynamic,1
10,B,AB,dynamic,1
11,B,AB,dynamic,1
12,B,AB,dynamic,1
13,B,AB,dynamic,1
14,B,AB,dynamic,1
15,B,AB,dynamic,1
16,B,AB,dynamic,1
17,B,AB,dynamic,1
18,B,AB,dynamic,1
19,B,AB,dynamic,1
20,B,AB,dynamic,1
21,B,AB,dynamic,1
22,B,AB,dynamic,1
23,B,AB,dynamic,1
24,B,AB,dynamic,1
25,B,AB,dynamic,1
26,B,AB,dynamic,1
27,B,AB,dynamic,1
28,B,AB,dynamic,1
29,B,AB,dynamic,1
30,B,AB,dynamic,1
31,B,AB,dynamic,1
32,B,AB,dynamic,1
33,B,AB,dynamic,1
34,B,AB,dynamic,1
35,B,AB,dynamic,1
36,B,AB,dynamic,1
37,B,AB,dynamic,1
38,B,AB,dynamic,1
39,B,AB,dynamic,1
40,B,AB,dynamic,1
41,B,AB,dynamic,1
42,B,AB,dynamic,1
43,B,AB,dynamic,1
44,B,AB,dynamic,1
45,B,AB,dynamic,1
46,B,AB,dynamic,1
47,B,AB,dynamic,1
48,B,AB,dynamic,1
49,B,AB,dynamic,1
50,B,AB,dynamic,1
51,B,AB,dynamic,1
52,B,AB,dynamic,1
53,B,AB,dynamic,1
54,B,AB,dynamic,1
55,B,AB,dynamic,1
56,B,AB,dynamic,1
57,B,AB,dynamic,1
58,B,AB,dynamic,1
59,B,AB,dynamic,1
60,B,AB,dynamic,1
61,B,AB,dynamic,1
62,B,AB,dynamic,1
63,B,AB,dynamic,1
64,B,AB,dynamic,1
65,B,AB,dynamic,1
66,B,AB,dynamic,1
67,B,AB,dynamic,1
68,B,AB,dynamic,1
69,B,AB,dynamic,1
70,B,AB,dynamic,1
71,B,AB,dynamic,1
72,B,AB,dynamic,1
73,B,AB,dynamic,1
74,B,AB,dynamic,1
75,B,AB,dynamic,1
76,B,AB,dynamic,1
77,B,AB,dynamic,1
78,B,AB,dynamic,1
79,B,AB,dynamic,1
80,B,AB,dynamic,1
81,B,AB,dynamic,1
82,B,AB,dynamic,1
83,B,AB,dynamic,1
84,B,AB,dynamic,1
85,B,AB,dynamic,1
86,B,AB,dynamic,1
87,B,AB,dynamic,1
88,B,AB,dynamic,1
89,B,AB,dynamic,1
90,B,AB,dynamic,1
91,B,AB,dynamic,1
92,B,AB,dynamic,1
93,B,AB,dynamic,1
94,B,AB,dynamic,1
95,B,AB,dynamic,1
96,B,AB,dynamic,1
97,B,AB,dynamic,1
98,B,AB,dynamic,1
99,B,AB,dynamic,1
100,B,AB,dynamic,1
101,B,AB,dynamic,1
102,B,AB,dynamic,1
103,B,AB,dynamic,1
104,B,AB,dynamic,1
105,B,AB,dynamic,1
106,B,AB,dynamic,1
107,B,AB,dynamic,1
108,B,AB,dynamic,1
109,B,AB,dynamic,1
110,B,AB,dynamic,1
111,B,AB,dynamic,1
112,B,AB,dynamic,1
113,B,AB,dynamic,1
114,B,AB,dynamic,1
115,B,AB,dynamic,1
116,B,AB,dynamic,1
117,B,AB,dynamic,1
118,B,AB,dynamic,1
119,B,AB,dynamic,1
120,B,AB,dynamic,1
121,B,AB,dynamic,1
122,B,AB,dynamic,1
123,B,AB,dynamic,1
124,B,AB,dynamic,1
125,B,AB,dynamic,1
126,B,AB,dynamic,1
127,B,AB,dynamic,1
128,B,AB,dynamic,1
1,C,CD,static,0
2,C,CD,static,0
3,C,CD,static,0
4,C,CD,static,0
5,C,CD,static,0
6,C,CD,static,0
