model,cov,k,silhouette,calinski_harabasz,davies_bouldin,bic,aic
GMM,diag,8,-0.12416392357231626,85325.08929524914,3.8786767650809884,49475.579564315456,48089.64741192754
GMM,diag,6,-0.037113467572500065,75969.7151696753,4.640822297866557,49811.483038480284,48773.093505345605
GMM,diag,5,0.00026801278421434427,94803.48088281388,3.7188837135091517,49924.12274194497,49059.50451843691
GMM,diag,7,0.006003617449885434,82665.82106429129,2.8391539090613946,49942.042502019875,48729.88165925858
GMM,diag,4,0.31427759201440253,124606.1036643863,2.441255501655283,51784.784113591864,51093.937199710424
GMM,diag,3,0.05986608140512733,19044.73583324418,2.891257555532991,55545.08481327497,55028.00920902015
GMM,full,8,0.6321059417746062,149417.67023741803,0.6598617435907518,56675.303486732824,48847.11790428485
GMM,full,7,0.7059855272950019,152682.8264738191,0.5847208531753962,57882.88761590037,51033.75502183652
GMM,full,6,0.7466245538666726,164781.04773042598,0.49913305738676156,58016.3183435906,52146.238737910884
GMM,full,5,0.7378639483614605,142383.39297949462,0.4893677383294263,58480.94579971822,53589.91918242263
GMM,tied,8,0.6766940019805145,145172.25774553034,0.7040197032286506,58568.95167173253,56971.103288092636
GMM,tied,7,0.6972388935108635,150452.068124895,0.589648107717468,58666.87936658982,57158.035800075755
GMM,tied,6,0.7273464317053412,158690.20582810734,0.48088878618489744,58911.15274856279,57491.313999174556
GMM,tied,5,0.7531870466086414,140019.95811116236,0.6535231833936974,59214.65476814493,57883.82083588252
GMM,tied,4,0.8484748457767095,154838.3742266323,0.2692883744158606,59773.91120522819,58532.082090091615
GMM,tied,3,0.9824994842204056,183852.17391686697,0.006011336532190724,60170.90475358049,59018.08045556975
GMM,full,4,0.7838338730807386,164884.360264302,0.37517325345804353,60473.529913590566,56561.5562846791
GMM,full,3,0.9824994842204056,183852.17391686697,0.006011336532190724,62123.516220995785,59190.59558046845
GMM,tied,2,0.9961350993033005,38046.32617834529,0.0011896025932537672,64292.38380314966,63228.56432226475
GMM,diag,2,0.9961350993033005,38046.32617834529,0.0011896025932537672,64307.827523300504,63964.523228672304
GMM,full,2,0.9961350993033005,38046.32617834529,0.0011896025932537672,65260.37521054524,63306.50755840202
