model,cov,k,silhouette,calinski_harabasz,davies_bouldin,bic,aic
GMM,diag,6,-0.08999887396051737,9006.800480191725,3.9428409913147875,32453.505909434178,31415.1163762995
GMM,diag,7,-0.09072051443949139,8099.424387066076,3.357942165186543,32529.416118535682,31317.255275774383
GMM,diag,8,-0.08224216746264147,7372.913749933798,3.886105717460283,32544.46832230375,31158.53616991583
GMM,diag,5,-0.07805104022623832,11070.349290757196,4.261402856399188,32665.02555473231,31800.40733122425
GMM,diag,4,0.00460330895602596,14574.553347998019,3.07121920414517,32983.03602332462,32292.189109443178
GMM,full,8,0.10687493506348644,12434.413852666177,1.9188577107905989,33596.469375863686,25768.283793415718
GMM,diag,3,0.3177299218237999,21743.77996120173,2.1118675359353625,33854.566044287276,33337.49044003246
GMM,full,7,0.06052205338313927,13336.102337259317,1.839165557827199,34208.54410385023,27359.411509786383
GMM,full,6,-0.014695565609259775,13926.098349351238,2.8061112780455435,34417.313035290485,28547.233429610766
GMM,full,5,0.07140269945234165,15909.542409737796,1.8287658538432154,34521.774686349585,29630.748069053996
GMM,full,4,0.2526597574593045,17929.000708628406,1.5315483418488574,34570.002268831166,30658.028639919703
GMM,full,3,0.2922638797217677,21860.831550603998,1.9920452053747264,35162.14105050396,32229.220409976624
GMM,tied,8,0.3332087833905384,12357.444176742314,1.2373096057167057,37888.06903758809,36290.22065394819
GMM,tied,7,0.4540768752559129,12896.061935767055,1.100097808677154,38072.44106675067,36563.5975002366
GMM,diag,2,0.9927313043726254,40943.524829197304,0.0034841494252395733,38222.63524013072,37879.33094550252
GMM,tied,6,0.49464923477616113,15693.761682909555,0.9272293515976764,38245.225901536745,36825.38715214851
GMM,tied,5,0.534673510245683,16882.870548809897,1.0255339907272654,38353.907702941375,37023.073770678966
GMM,tied,4,0.4867198087414205,17603.124171667263,1.123232138923444,38736.03996777706,37494.210852640485
GMM,tied,3,0.644350577358182,25427.802679529454,0.6974944447691692,39149.103577351765,37996.27927934102
GMM,tied,2,0.9927313043726254,40943.524829197304,0.0034841494252395733,39471.769570898396,38407.95009001348
GMM,full,2,0.9927313043726254,40943.524829197304,0.0034841494252395733,40488.23874046631,38534.371088323096
