연번,e,n,t,j,a,o1,c1,e1,a1,n1,tsv,tcv,ta,tp,pt,p_mean,m_mean,m_minus_p_mean
1,83.0,71.0,71.0,86.0,60.0,74.0,99.0,92.0,78.0,39.0,-0.4,2.4,3.0,0.15,24.7,-1.4821428571428572,-1.7857142857142858,-0.3035714285714286
2,57.0,52.0,53.0,61.0,40.0,81.0,86.0,81.0,72.0,70.0,0.05,1.25,2.75,-0.15,24.15,-0.12767857142857142,-0.7401785714285715,-0.6125
3,78.0,81.0,81.0,71.0,74.0,92.0,87.0,91.0,69.0,63.0,-0.25,0.7,2.7,0.2,24.9,2.439285714285714,2.4580357142857143,0.018750000000000266
4,60.0,51.0,71.0,67.0,46.0,61.0,87.0,82.0,86.0,56.0,-0.8,0.3,1.55,0.8,21.25,1.1107142857142858,0.9607142857142857,-0.15000000000000002
5,85.0,61.0,81.0,60.0,76.0,79.0,87.0,94.0,64.0,49.0,-0.15,1.5,2.6,-0.2,20.0,0.39107142857142857,-0.3241071428571428,-0.7151785714285714
6,85.0,60.0,61.0,59.0,54.0,66.0,92.0,94.0,78.0,50.0,0.0,1.2,2.75,-0.2,23.05,0.5919642857142857,0.25357142857142856,-0.33839285714285716
7,88.0,79.0,59.0,59.0,71.0,89.0,99.0,80.0,93.0,60.0,-0.9,1.25,2.15,0.85,21.5,2.210714285714286,2.305357142857143,0.09464285714285703
8,97.0,92.0,77.0,98.0,60.0,98.0,113.0,110.0,64.0,49.0,-1.1,-1.1,1.1111111111111112,1.25,19.4,1.563392857142857,1.5714285714285714,0.008035714285714368
9,59.0,72.0,67.0,43.0,26.0,92.0,83.0,91.0,62.0,59.0,-0.95,0.1,2.35,0.45,19.4,2.0669642857142856,1.78125,-0.2857142857142856
10,64.0,70.0,68.0,28.0,21.0,92.0,81.0,99.0,62.0,74.0,-0.05,1.75,2.85,-0.3,24.65,0.5964285714285714,0.37589285714285714,-0.22053571428571428
11,61.0,72.0,61.0,66.0,71.0,64.0,93.0,81.0,78.0,50.0,-0.35,1.35,2.3,0.55,22.9,1.5598214285714285,1.374107142857143,-0.1857142857142855
