연번,cluster
1.0,1
2.0,6
3.0,4
4.0,5
5.0,7
6.0,1
7.0,0
8.0,7
9.0,7
10.0,4
11.0,0
12.0,3
13.0,0
14.0,6
15.0,4
16.0,3
17.0,7
18.0,2
19.0,7
20.0,4
21.0,1
22.0,5
23.0,0
24.0,0
25.0,1
26.0,7
27.0,0
28.0,7
29.0,4
30.0,0
31.0,3
32.0,5
33.0,7
34.0,7
35.0,0
36.0,5
37.0,0
38.0,7
39.0,7
40.0,7
41.0,7
42.0,0
43.0,1
44.0,7
45.0,3
46.0,7
47.0,6
48.0,4
49.0,0
50.0,1
51.0,1
52.0,7
53.0,0
54.0,0
55.0,0
56.0,1
57.0,7
58.0,7
59.0,7
60.0,1
61.0,0
62.0,0
63.0,0
64.0,0
65.0,0
66.0,2
67.0,0
68.0,7
69.0,0
70.0,7
71.0,7
72.0,1
73.0,0
74.0,7
75.0,7
76.0,5
77.0,1
78.0,7
79.0,7
80.0,7
81.0,0
82.0,4
83.0,7
84.0,5
85.0,6
86.0,4
87.0,7
88.0,1
89.0,1
90.0,5
91.0,1
92.0,1
93.0,7
94.0,1
95.0,5
96.0,0
97.0,3
98.0,4
99.0,1
100.0,7
101.0,0
102.0,7
103.0,0
104.0,1
105.0,7
106.0,0
107.0,0
108.0,0
109.0,4
110.0,1
111.0,3
112.0,5
113.0,0
114.0,0
115.0,7
116.0,6
117.0,0
118.0,0
119.0,7
120.0,7
121.0,5
122.0,7
123.0,0
124.0,7
125.0,7
126.0,3
127.0,7
128.0,7
