연번,segment,pair,phase,cluster
1,A,AB,static,0
2,A,AB,static,5
3,A,AB,static,3
4,A,AB,static,2
5,A,AB,static,0
6,A,AB,static,3
7,A,AB,static,0
8,A,AB,static,3
9,A,AB,static,5
10,A,AB,static,5
11,A,AB,static,2
12,A,AB,static,0
13,A,AB,static,0
14,A,AB,static,5
15,A,AB,static,0
16,A,AB,static,3
17,A,AB,static,3
18,A,AB,static,3
19,A,AB,static,0
20,A,AB,static,0
21,A,AB,static,3
22,A,AB,static,4
23,A,AB,static,2
24,A,AB,static,2
25,A,AB,static,4
26,A,AB,static,4
27,A,AB,static,4
28,A,AB,static,2
29,A,AB,static,4
30,A,AB,static,0
31,A,AB,static,0
32,A,AB,static,5
33,A,AB,static,0
34,A,AB,static,0
35,A,AB,static,2
36,A,AB,static,4
37,A,AB,static,0
38,A,AB,static,0
39,A,AB,static,0
40,A,AB,static,2
41,A,AB,static,0
42,A,AB,static,0
43,A,AB,static,5
44,A,AB,static,0
45,A,AB,static,5
46,A,AB,static,0
47,A,AB,static,0
48,A,AB,static,3
49,A,AB,static,0
50,A,AB,static,4
51,A,AB,static,5
52,A,AB,static,4
53,A,AB,static,0
54,A,AB,static,2
55,A,AB,static,3
56,A,AB,static,0
57,A,AB,static,0
58,A,AB,static,3
59,A,AB,static,0
60,A,AB,static,4
61,A,AB,static,0
62,A,AB,static,2
63,A,AB,static,2
64,A,AB,static,2
65,A,AB,static,0
66,A,AB,static,3
67,A,AB,static,2
68,A,AB,static,5
69,A,AB,static,2
70,A,AB,static,0
71,A,AB,static,4
72,A,AB,static,5
73,A,AB,static,4
74,A,AB,static,0
75,A,AB,static,0
76,A,AB,static,0
77,A,AB,static,5
78,A,AB,static,2
79,A,AB,static,2
80,A,AB,static,2
81,A,AB,static,2
82,A,AB,static,5
83,A,AB,static,5
84,A,AB,static,4
85,A,AB,static,4
86,A,AB,static,3
87,A,AB,static,0
88,A,AB,static,0
89,A,AB,static,4
90,A,AB,static,5
91,A,AB,static,4
92,A,AB,static,4
93,A,AB,static,0
94,A,AB,static,5
95,A,AB,static,3
96,A,AB,static,2
97,A,AB,static,5
98,A,AB,static,4
99,A,AB,static,5
100,A,AB,static,4
101,A,AB,static,2
102,A,AB,static,0
103,A,AB,static,2
104,A,AB,static,0
105,A,AB,static,0
106,A,AB,static,2
107,A,AB,static,2
108,A,AB,static,4
109,A,AB,static,4
110,A,AB,static,5
111,A,AB,static,3
112,A,AB,static,5
113,A,AB,static,0
114,A,AB,static,0
115,A,AB,static,0
116,A,AB,static,5
117,A,AB,static,0
118,A,AB,static,4
119,A,AB,static,0
120,A,AB,static,5
121,A,AB,static,0
122,A,AB,static,0
123,A,AB,static,0
124,A,AB,static,4
125,A,AB,static,0
126,A,AB,static,3
127,A,AB,static,0
128,A,AB,static,2
1,C,CD,static,0
2,C,CD,static,5
3,C,CD,static,5
4,C,CD,static,2
5,C,CD,static,0
6,C,CD,static,5
7,C,CD,static,0
8,C,CD,static,2
9,C,CD,static,5
10,C,CD,static,2
11,C,CD,static,2
12,C,CD,static,3
13,C,CD,static,2
14,C,CD,static,3
15,C,CD,static,3
16,C,CD,static,3
17,C,CD,static,0
18,C,CD,static,5
19,C,CD,static,2
20,C,CD,static,2
21,C,CD,static,3
22,C,CD,static,0
23,C,CD,static,2
24,C,CD,static,0
25,C,CD,static,5
26,C,CD,static,2
27,C,CD,static,2
28,C,CD,static,5
29,C,CD,static,3
30,C,CD,static,0
31,C,CD,static,3
32,C,CD,static,4
33,C,CD,static,0
34,C,CD,static,4
35,C,CD,static,2
36,C,CD,static,0
37,C,CD,static,0
38,C,CD,static,0
39,C,CD,static,2
40,C,CD,static,0
41,C,CD,static,5
42,C,CD,static,0
43,C,CD,static,0
44,C,CD,static,2
45,C,CD,static,3
46,C,CD,static,2
47,C,CD,static,3
48,C,CD,static,5
49,C,CD,static,2
50,C,CD,static,5
51,C,CD,static,4
52,C,CD,static,5
53,C,CD,static,0
54,C,CD,static,2
55,C,CD,static,0
56,C,CD,static,2
57,C,CD,static,0
58,C,CD,static,1
59,C,CD,static,4
60,C,CD,static,0
61,C,CD,static,5
62,C,CD,static,2
63,C,CD,static,2
64,C,CD,static,2
65,C,CD,static,0
66,C,CD,static,4
67,C,CD,static,0
68,C,CD,static,0
69,C,CD,static,2
70,C,CD,static,0
71,C,CD,static,0
72,C,CD,static,4
73,C,CD,static,2
74,C,CD,static,0
75,C,CD,static,0
76,C,CD,static,2
77,C,CD,static,0
78,C,CD,static,0
79,C,CD,static,3
80,C,CD,static,0
81,C,CD,static,2
82,C,CD,static,3
83,C,CD,static,0
84,C,CD,static,2
85,C,CD,static,3
86,C,CD,static,0
87,C,CD,static,0
88,C,CD,static,3
89,C,CD,static,0
90,C,CD,static,3
91,C,CD,static,5
92,C,CD,static,5
93,C,CD,static,2
94,C,CD,static,5
95,C,CD,static,0
96,C,CD,static,0
97,C,CD,static,5
98,C,CD,static,4
99,C,CD,static,5
100,C,CD,static,0
101,C,CD,static,4
102,C,CD,static,2
103,C,CD,static,2
104,C,CD,static,0
105,C,CD,static,2
106,C,CD,static,3
107,C,CD,static,0
108,C,CD,static,2
109,C,CD,static,2
110,C,CD,static,5
111,C,CD,static,2
112,C,CD,static,0
113,C,CD,static,2
114,C,CD,static,2
115,C,CD,static,0
116,C,CD,static,3
117,C,CD,static,0
118,C,CD,static,2
119,C,CD,static,5
120,C,CD,static,0
121,C,CD,static,5
122,C,CD,static,4
123,C,CD,static,2
124,C,CD,static,0
125,C,CD,static,2
126,C,CD,static,5
127,C,CD,static,0
128,C,CD,static,5
1,E,EF,static,5
2,E,EF,static,3
3,E,EF,static,0
4,E,EF,static,3
5,E,EF,static,5
6,E,EF,static,0
7,E,EF,static,0
8,E,EF,static,2
9,E,EF,static,2
10,E,EF,static,4
11,E,EF,static,2
12,E,EF,static,5
13,E,EF,static,2
14,E,EF,static,3
15,E,EF,static,3
16,E,EF,static,3
17,E,EF,static,0
18,E,EF,static,3
19,E,EF,static,4
20,E,EF,static,3
21,E,EF,static,5
22,E,EF,static,0
23,E,EF,static,2
24,E,EF,static,2
25,E,EF,static,4
26,E,EF,static,2
27,E,EF,static,4
28,E,EF,static,4
29,E,EF,static,4
30,E,EF,static,0
31,E,EF,static,4
32,E,EF,static,0
33,E,EF,static,0
34,E,EF,static,2
35,E,EF,static,2
36,E,EF,static,4
37,E,EF,static,0
38,E,EF,static,0
39,E,EF,static,2
40,E,EF,static,4
41,E,EF,static,0
42,E,EF,static,2
43,E,EF,static,3
44,E,EF,static,4
45,E,EF,static,4
46,E,EF,static,5
47,E,EF,static,5
48,E,EF,static,2
49,E,EF,static,2
50,E,EF,static,0
51,E,EF,static,0
52,E,EF,static,3
53,E,EF,static,3
54,E,EF,static,2
55,E,EF,static,0
56,E,EF,static,0
57,E,EF,static,0
58,E,EF,static,3
59,E,EF,static,4
60,E,EF,static,3
61,E,EF,static,0
62,E,EF,static,2
63,E,EF,static,2
64,E,EF,static,2
65,E,EF,static,0
66,E,EF,static,3
67,E,EF,static,2
